Activity_Label,Mean_Acc_X,Std_Acc_X,Mean_Abs_Jerk_X,Dominant_Freq_X,Mean_Acc_Y,Std_Acc_Y,Mean_Abs_Jerk_Y,Dominant_Freq_Y,Mean_Acc_Z,Std_Acc_Z,Mean_Abs_Jerk_Z,Dominant_Freq_Z
5,0.00226869044134375,0.002941028955878465,0.07174583050551181,0.390625,-0.0016553713205468747,0.004600700582145665,0.08867662984251969,0.390625,-0.00812555056015625,0.018504363462076543,0.11256104913385827,0.390625
5,0.00017373955275000003,0.0019809172471986166,0.06614151539527557,7.03125,0.000381628339609375,0.005929725093276461,0.11532097433070866,0.390625,-0.0050253200125,0.01012173212357535,0.11935539102362205,0.390625
5,0.000428091215703125,0.002908354835315758,0.0913298703937008,0.78125,-0.00122159141171875,0.007310279372108388,0.11445771858267716,0.390625,-0.0017025929382812502,0.006785920810350644,0.13919822858267716,0.390625
5,0.00032935231273437495,0.0026779500705856186,0.07350100980314958,0.390625,-0.004753393611875,0.0045509978745694795,0.09089614692125983,0.390625,-0.00494682587421875,0.004684485336784584,0.11849650582677165,0.390625
5,-0.00019515715203125,0.0020154352801774497,0.06073012901968505,7.03125,0.00029818547171875,0.004990937811439517,0.08673695873228346,0.390625,-0.00233029287640625,0.004719141445319133,0.1224153965511811,0.390625
5,-7.7691765703125e-05,0.0022755251968116634,0.06746480767716534,2.734375,0.0036927301098437504,0.0033455583710165515,0.086346655,0.390625,0.001047306393125,0.0038345109083728185,0.12118574970078738,0.390625
5,0.00038704339601562497,0.0024094828200060397,0.06484013874015748,3.515625,-0.0013126573885937501,0.007310461940098447,0.10146671527559055,0.390625,-0.00056637150859375,0.006038242351502882,0.13034081244094492,0.390625
5,-2.9529718359375004e-05,0.0025265660600622287,0.07001590531496063,0.390625,-0.007002324574609375,0.00738831160175906,0.11854050836220471,0.390625,-0.0056332259484375,0.006312764047988354,0.11546573188976379,0.390625
5,-5.8185086242187456e-05,0.002277624965426367,0.06239907740944881,0.390625,-0.0024193387269531245,0.008321323912919266,0.12030334603937007,0.390625,-0.004110487111953125,0.00593904988947415,0.09144564748031495,0.390625
5,0.0006202866657109375,0.0030948046512915294,0.08678650063779526,4.6875,0.0037648777023437502,0.006362245029644983,0.1651036075590551,4.6875,0.0007407803482031251,0.005478265020894644,0.12654149259842515,3.515625
