Activity_Label,Mean_Acc_X,Std_Acc_X,Mean_Abs_Jerk_Acc_X,Dominant_Freq_Acc_X,Mean_Acc_Y,Std_Acc_Y,Mean_Abs_Jerk_Acc_Y,Dominant_Freq_Acc_Y,Mean_Acc_Z,Std_Acc_Z,Mean_Abs_Jerk_Acc_Z,Dominant_Freq_Acc_Z,Mean_Gyro_X,Std_Gyro_X,Mean_Abs_Jerk_Gyro_X,Dominant_Freq_Gyro_X,Mean_Gyro_Y,Std_Gyro_Y,Mean_Abs_Jerk_Gyro_Y,Dominant_Freq_Gyro_Y,Mean_Gyro_Z,Std_Gyro_Z,Mean_Abs_Jerk_Gyro_Z,Dominant_Freq_Gyro_Z
3,0.06585550000000001,0.30468116421530517,6.31576338582677,3.515625,0.032716484375,0.27386978156589836,6.926765354330707,8.203125,0.07548560156249999,0.3346111486382444,7.387779921259842,3.515625,-0.48896225781249997,1.1433306963999568,17.719710629921256,1.5625,-0.6624457734375,1.6125533248828026,26.686898425196855,0.78125,0.170684375,0.6496364145220122,13.526663779527558,0.78125
3,0.1262987578125,0.4603793115544905,12.339355511811021,3.125,-0.0779992109375,0.3027908761051783,9.322,1.953125,0.1308553515625,0.3706707997942419,13.110863385826772,3.125,-0.313600796875,1.1289334466012488,29.549559055118106,1.5625,-0.2860894765625,2.002396261112057,41.02326889763779,1.5625,0.16943309375,0.8484667315640925,18.754805511811018,1.5625
3,0.104572078125,0.3039421819517193,7.965013779527559,4.6875,-0.07243828124999999,0.2846564315666327,8.113131102362201,5.859375,0.07282617187499998,0.31663828017664014,10.520994488188975,2.734375,-0.15226546875,0.9971406662381248,20.58879251968504,2.734375,-0.1439622890625,2.1619852632945884,39.26961417322835,1.171875,0.07343528906249999,0.5560358081189718,14.055047637795276,2.34375
3,0.1104746328125,0.3612473047213871,7.112971259842518,0.390625,-0.004729156250000001,0.25094468630654687,5.148208267716535,1.953125,0.008195781250000004,0.287483137798059,6.671548818897637,1.953125,-0.711060703125,1.014885100199243,17.903278346456695,1.953125,-0.5740829453125,1.409120562257135,23.161748425196848,0.78125,0.19675082031250002,0.8030187727480719,13.950929921259844,1.171875
3,-0.06356902343749998,0.29930166403316716,8.783627559055114,3.90625,0.1110714765625,0.29470178619909476,9.10552086614173,7.8125,-0.0342246328125,0.25572541648428393,7.955851968503937,2.734375,-0.027265648437500005,0.8387428886073582,19.030985433070867,2.734375,-0.1477566796875,2.1951088151237443,39.41986771653543,1.171875,0.1484614609375,0.6253616274431226,13.000493307086616,1.5625
3,-0.0060268046875000016,0.33154803432277774,8.18352125984252,4.296875,0.11364179687499999,0.2655489554073657,7.771023228346457,5.859375,0.08052183593750001,0.38454785705150246,10.063815354330707,2.734375,-0.5613337109375001,1.1819854304162483,27.279097637795275,2.734375,-0.368000875,1.8651269650726614,36.871874015748034,1.171875,0.123608515625,0.6796667726538864,14.12618307086614,1.5625
3,0.1035146484375,0.2981113407299724,7.404691732283464,5.078125,-0.07724072656250001,0.23847469691096534,6.482166141732283,2.34375,0.14878396875,0.284588993867635,7.398146850393699,3.90625,-0.4549765859375,0.9526521027699751,20.406780708661415,1.171875,-0.394883265625,1.8621596184613278,30.52188818897638,1.171875,0.1698039140625,0.7117634730551847,13.38373149606299,1.171875
3,0.10657231250000002,0.3123058731622521,8.293748425196851,3.90625,-0.0654155859375,0.2425288831102947,7.309781889763781,2.734375,0.05405237499999999,0.28474101105135324,9.850121653543306,2.734375,-0.022738601562500016,0.9203674695014176,19.88698622047244,1.171875,0.1862421640625,2.193641714627552,37.526149606299214,1.171875,0.0931911875,0.5853485456945416,13.206806692913387,2.734375
3,0.129593390625,0.3136499630330172,6.79333937007874,3.90625,-0.065824453125,0.2887617255425488,6.663564566929133,2.34375,0.044532148437499995,0.3158931759041805,8.814042913385824,3.90625,-0.8561783359375,1.0488331848884598,19.24047677165354,2.34375,-0.649985265625,1.6327936544143709,24.885938582677163,1.171875,0.24203565625,0.7535083559902309,13.580705511811022,1.171875
3,-0.035962296875,0.29325821741117075,7.9700775590551185,4.6875,0.0845053828125,0.26434794837492714,7.43431968503937,5.859375,0.029436835937500003,0.30488286877380716,10.597748818897637,2.734375,-0.09658776562500002,0.8247674032057698,20.178144881889764,2.734375,-0.037112734374999956,2.1463008197048827,35.68171338582677,1.171875,0.12407243750000001,0.565186742341701,12.217860629921262,5.859375
